Country,Country sp,Deaths,EW,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Iso3166,Lab Confirm,Last Available EpiWeek,Number of Records,PAHO Code Num,PAHO Code,Population,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,Serotype,Severe Dengue,Suspected,TIS,Type,W Pais,Year
Argentina,Argentina,0,50,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,51,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Aruba,Aruba,0,4,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,5,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,6,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,7,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,8,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,9,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,10,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,11,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Aruba,Aruba,0,12,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
